175,395
174,395
173,394
170,392
166,390
169,390
168,391
168,390
168,391
168,391
169,391
172,390
167,390
169,391
167,391
168,388
166,388
166,387
166,386
166,383
165,383
166,380
163,378
165,375
167,375
164,376
165,374
166,374
165,374
165,375
167,372
165,372
169,371
165,373
163,372
161,374
165,372
161,373
163,373
163,373
162,374
160,375
161,374
160,376
154,374
159,377
157,377
157,376
159,374
156,377
156,377
156,376
157,375
158,374
159,374
154,376
153,376
155,376
150,373
148,376
158,374
158,374
155,375
152,378
152,376
153,376
152,376
151,376
155,376
158,376
154,377
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
