162,387
160,388
161,388
161,390
162,388
163,388
160,388
161,389
161,388
160,389
160,388
160,388
160,389
159,388
161,389
159,389
160,390
160,390
159,389
158,390
158,389
157,390
156,389
157,389
158,389
158,390
157,390
158,390
159,391
160,391
160,391
160,390
160,390
160,390
162,390
161,391
161,390
162,390
162,389
162,389
162,389
162,390
161,389
161,389
162,391
161,389
161,390
160,388
160,388
161,388
161,388
160,388
160,388
159,388
158,388
157,388
157,388
157,388
158,389
158,391
157,392
155,392
155,392
156,394
155,394
154,397
146,400
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
